stationId,stationName,stationLongitude,stationLatitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-51,203. 국회의사당역 3번출구 옆,126.91870117,37.5280571,5,0,5
ST-50,204. 국회의사당역 5번출구 옆,126.91702271,37.52816391,0,0,0
ST-52,205. 산업은행 앞,126.92050934,37.52626419,5,0,5
ST-53,206. KBS 앞,126.91802216,37.52466583,13,1,14
ST-73,207. 여의나루역 1번출구 앞,126.93190002,37.52715683,2,0,2
ST-55,209. 유진투자증권빌딩 앞,126.92783356,37.52461243,15,1,16
ST-59,213. KT앞,126.91895294,37.52190781,8,0,8
ST-60,214. 금융감독원 앞,126.9208374,37.5230217,11,2,13
ST-64,215. 여의도고교 앞,126.93490601,37.52483749,10,0,10
ST-66,217. NH농협은행 앞,126.93036652,37.52207947,16,0,16
ST-62,219. 롯데캐슬엠파이어 옆,126.92583466,37.52069473,23,0,23
ST-63,220. 미성아파트 A동 앞,126.92604828,37.5193634,4,0,4
ST-67,221. 여의도초교 앞,126.93778992,37.52267456,1,0,1
ST-68,222. 시범아파트버스정류장 옆,126.93688965,37.51902008,0,0,0
ST-69,223. 진주아파트상가 앞,126.9333725,37.51913071,0,1,1
ST-70,224. 롯데캐슬 앞,126.93236542,37.5200882,2,0,2
ST-71,225. 앙카라공원 앞,126.92961884,37.51758575,9,0,9
ST-72,226. 샛강역 1번출구 앞,126.92841339,37.51776505,6,1,7
ST-277,227. 양평2나들목 보행통로 입구,126.88835907,37.54466629,24,5,29
ST-278,228. 선유도역 3번출구 앞,126.89450836,37.53845978,19,0,19
ST-279,229. 양평1 보행육교 앞,126.8921814,37.53587341,14,1,15
ST-413,230. 영등포구청역 1번출구,126.89621735,37.52463531,18,1,19
ST-280,231. 남부고용노동지청 남측,126.89182281,37.52450562,4,0,4
ST-281,232. 양평우림 이비즈센타 앞,126.88781738,37.52565002,0,3,3
ST-282,233. 양평1동 YP센터 앞,126.89164734,37.52848816,6,0,6
ST-283,234. 영등포구민체육센터 앞,126.90584564,37.50046158,18,1,19
ST-284,235. 신길동 우리은행 옆,126.91023254,37.50456619,3,0,3
ST-285,236. 문래동자이아파트 앞,126.89461517,37.51615524,5,3,8
ST-286,237. 보라매 두산위브 건너편,126.91480255,37.49651337,1,1,2
ST-287,238. 제2구민체육센타 앞,126.90275574,37.52638626,2,0,2
ST-288,239. 유스호스텔 앞,126.90328217,37.5258522,0,0,0
ST-289,240. 문래역 4번출구 앞,126.89557648,37.51873779,12,3,15
ST-290,241. 신길우성1차아파트 앞 공원,126.89853668,37.50501633,1,0,1
ST-291,242. 신길선원가와인아파트 앞,126.91022491,37.51093292,0,0,0
ST-292,243. 이앤씨드림타워 앞,126.89138031,37.52708435,7,0,7
ST-293,244. 영등포삼환아파트 앞,126.90570831,37.53007889,1,2,3
ST-294,245. 삼성생명 당산사옥 앞,126.89662933,37.52826309,14,0,14
ST-295,247. 당산역 10번출구 앞,126.90223694,37.53342056,2,3,5
ST-296,248. 초원아파트 앞,126.92420959,37.53105545,4,0,4
ST-297,249. 여의도중학교 옆,126.93611908,37.52434921,1,0,1
ST-298,250. 대림아파트 사거리,126.92308044,37.50764084,2,1,3
ST-299,251. 서울지방병무청 버스정류장,126.92195129,37.50449371,4,0,4
ST-300,252. 보라매역4번출구,126.91994476,37.49982834,8,0,8
ST-302,254. 도림신협 앞,126.90341949,37.50380325,2,2,4
ST-303,255. 도림사거리,126.90113068,37.50657272,3,1,4
ST-304,256. 동아에코빌입구,126.89929962,37.50947571,5,1,6
ST-306,258. 신길역3번출구,126.91429901,37.51769257,3,0,3
ST-307,259. 대방역6번출구,126.92593384,37.51359177,9,4,13
ST-414,260. 여의도 마리나선착장 앞,126.91216278,37.53365707,3,0,3
ST-416,262. 영문초등학교 사거리,126.88918304,37.51992798,9,0,9
ST-417,263. 근로자회관 사거리,126.8886261,37.51715088,5,1,6
ST-418,264. 교보생명보험 앞,126.89161682,37.52193069,5,0,5
ST-419,265. 영등포유통상가 사거리,126.89653778,37.52113342,4,1,5
ST-420,266. 영등포청과시장 사거리,126.90119171,37.52029419,2,0,2
ST-421,267. 삼성화재 사옥 옆,126.89830017,37.53596115,8,0,8
ST-422,268. 그랜드컨벤션센터 앞,126.90000153,37.53471756,3,0,3
ST-424,270. 증권거래소후문교차로,126.92710114,37.52234268,23,0,23
ST-425,271. 샛강생태공원방문자센터 앞,126.9216156,37.51896286,18,0,18
ST-426,272. 당산육갑문,126.90367889,37.53533936,3,0,3
ST-1320,275. 신동아아파트,126.88568115,37.52269745,15,5,20
ST-1321,276. 영등포로터리2,126.9126358,37.51828384,4,2,6
ST-1323,278. 쌍용플레티넘오피스텔,126.89523315,37.50793076,5,0,5
ST-1353,279. 영등포 푸르지오 아파트 B,126.90446472,37.51322937,3,0,3
ST-1539,280. 양평동6차현대아파트 앞,126.8944397,37.53210068,6,5,11
ST-1540,281. 대림신동아아파트 앞,126.89398193,37.49824142,2,0,2
ST-1541,282. 신한은행 대림동지점,126.90487671,37.48752975,4,0,4
ST-1649,283. 아크로타워 스퀘어(영등포시장),126.90721893,37.52251816,33,3,36
ST-1650,284. 센트럴 푸르지오 시티 앞,126.90222931,37.51821136,2,1,3
ST-1651,285. 대림3동사거리(하나은행),126.89723969,37.49985886,7,1,8
ST-1652,286. 우성아파트 교차로,126.89974976,37.49457169,15,3,18
ST-1653,287. 영등포전화국사거리 (서강어린이공원),126.90573883,37.52576828,10,1,11
ST-1677,288. 쌍용예가(구청별관),126.89338684,37.52809906,1,0,1
ST-1697,289. 대림3동사거리,126.89800262,37.49980927,9,4,13
ST-1698,290. 새말소공원,126.89782715,37.5315094,2,0,2
ST-1699,291. 문래동 하이테크 시티,126.89939117,37.51412964,9,0,9
ST-1700,292. 영일 어린이공원,126.90406799,37.51012039,4,0,4
ST-1701,293. 충북 미래관,126.90757751,37.52917099,43,3,46
